Order,MS SubClass,Lot Frontage,Lot Area,Street,Utilities,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Year Remod/Add,Exterior 1st,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Full Bath,Half Bath,Garage Type,Garage Cars,Garage Area,Mo Sold,Yr Sold,SalePrice
22,85,85,10625,Pave,AllPub,Inside,NWAmes,Norm,1Fam,SFoyer,1974,Plywood,1173,0,1173,1,2,0,Attchd,2,528,1,2010,170000
23,60,,7500,Pave,AllPub,Inside,Somerst,Norm,1Fam,2Story,2000,VinylSd,814,860,1674,1,2,1,Attchd,2,663,1,2010,216000
24,20,,11241,Pave,AllPub,CulDSac,NAmes,Norm,1Fam,1Story,1970,Wd Sdng,1004,0,1004,1,1,0,Attchd,2,480,3,2010,149000
25,20,,12537,Pave,AllPub,CulDSac,NAmes,Norm,1Fam,1Story,2008,VinylSd,1078,0,1078,1,1,1,Attchd,2,500,4,2010,149900
26,20,65,8450,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1968,VinylSd,1056,0,1056,1,1,0,Attchd,1,304,7,2010,142000
27,20,70,8400,Pave,AllPub,Corner,NAmes,Norm,1Fam,1Story,1970,Plywood,882,0,882,1,1,0,Attchd,2,525,4,2010,126000
28,20,70,10500,Pave,AllPub,FR2,NAmes,Norm,1Fam,1Story,1971,HdBoard,864,0,864,0,1,0,NA,0,0,4,2010,115000
29,120,26,5858,Pave,AllPub,FR2,NAmes,Norm,TwnhsE,1Story,1999,MetalSd,1337,0,1337,1,2,0,Attchd,2,511,6,2010,184000
30,160,21,1680,Pave,AllPub,Inside,BrDale,Norm,Twnhs,2Story,1971,HdBoard,483,504,987,0,1,1,Detchd,1,264,2,2010,96000
31,160,21,1680,Pave,AllPub,Inside,BrDale,Norm,Twnhs,2Story,1971,HdBoard,525,567,1092,0,1,1,Detchd,1,320,3,2010,105500
32,160,21,1680,Pave,AllPub,Inside,BrDale,Norm,Twnhs,2Story,1971,HdBoard,525,567,1092,0,1,1,Detchd,1,264,3,2010,88000
33,120,53,4043,Pave,AllPub,Inside,NPkVill,Norm,TwnhsE,1Story,1977,Plywood,1069,0,1069,0,2,0,Attchd,2,440,7,2010,127500
34,160,24,2280,Pave,AllPub,FR2,NPkVill,Norm,Twnhs,2Story,1975,Plywood,855,601,1456,0,2,1,Attchd,2,440,6,2010,149900
35,120,24,2280,Pave,AllPub,FR2,NPkVill,Norm,Twnhs,1Story,1975,Plywood,836,0,836,0,1,0,Attchd,1,308,6,2010,120000
36,160,24,2280,Pave,AllPub,Inside,NPkVill,Norm,Twnhs,2Story,1978,Plywood,855,601,1456,0,2,1,Attchd,2,440,7,2010,146000
37,60,102,12858,Pave,AllPub,Inside,NridgHt,Norm,1Fam,2Story,2010,VinylSd,1627,707,2334,0,2,1,Attchd,3,751,1,2010,376162
38,20,98,11478,Pave,AllPub,Inside,NridgHt,Norm,1Fam,1Story,2008,VinylSd,1704,0,1704,1,2,0,Attchd,3,772,5,2010,306000
39,20,83,10159,Pave,AllPub,Inside,NridgHt,Norm,1Fam,1Story,2010,VinylSd,1940,0,1940,1,2,1,Attchd,3,606,4,2010,395192
40,20,94,12883,Pave,AllPub,Corner,NridgHt,Norm,1Fam,1Story,2010,VinylSd,1544,0,1544,0,2,0,Attchd,3,868,6,2010,290941
41,20,95,12182,Pave,AllPub,Corner,NridgHt,Norm,1Fam,1Story,2005,VinylSd,1541,0,1541,0,2,0,Attchd,2,532,5,2010,220000
42,20,90,11520,Pave,AllPub,Inside,NridgHt,PosN,1Fam,1Story,2005,VinylSd,1698,0,1698,0,2,0,Attchd,3,730,6,2010,275000
43,20,79,14122,Pave,AllPub,Inside,NridgHt,Norm,1Fam,1Story,2006,CemntBd,1822,0,1822,0,2,0,Attchd,3,678,2,2010,259000
44,20,70,10171,Pave,AllPub,Inside,NridgHt,Norm,1Fam,1Story,2004,VinylSd,1535,0,1535,0,2,0,Attchd,2,532,3,2010,214000
45,20,100,12919,Pave,AllPub,Inside,NridgHt,Norm,1Fam,1Story,2010,VinylSd,2364,0,2364,1,2,1,Attchd,3,820,3,2010,611657
46,120,44,6371,Pave,AllPub,Inside,NridgHt,Norm,TwnhsE,1Story,2010,VinylSd,1358,0,1358,1,2,0,Attchd,2,484,6,2010,224000
47,20,110,14300,Pave,AllPub,Inside,NridgHt,Norm,1Fam,1Story,2004,VinylSd,2696,0,2696,1,2,1,Attchd,3,958,6,2010,500000
48,60,105,13650,Pave,AllPub,Corner,NridgHt,Norm,1Fam,2Story,2002,VinylSd,1687,563,2250,1,2,1,Attchd,3,756,6,2010,320000
49,120,61,7658,Pave,AllPub,Inside,NridgHt,Norm,TwnhsE,1Story,2005,MetalSd,1752,0,1752,1,2,0,Attchd,2,576,2,2010,319900
50,120,41,7132,Pave,AllPub,Inside,NridgHt,Norm,TwnhsE,1Story,2006,VinylSd,1370,0,1370,0,2,0,Attchd,2,484,4,2010,205000
51,160,36,2628,Pave,AllPub,Inside,NridgHt,Norm,Twnhs,2Story,2003,VinylSd,764,862,1626,0,2,1,BuiltIn,2,474,6,2010,175500
52,20,100,18494,Pave,AllPub,Corner,Gilbert,Norm,1Fam,1Story,2005,VinylSd,1324,0,1324,0,2,0,Attchd,2,430,1,2010,199500
53,120,43,3203,Pave,AllPub,Inside,Blmngtn,Norm,TwnhsE,1Story,2006,VinylSd,1145,0,1145,0,2,0,Attchd,2,437,1,2010,160000
54,120,43,3182,Pave,AllPub,Inside,Blmngtn,Norm,TwnhsE,1Story,2005,VinylSd,1269,0,1269,0,2,0,Attchd,2,430,4,2010,192000
55,80,67,13300,Pave,AllPub,Inside,Gilbert,Norm,1Fam,SLvl,2004,VinylSd,744,630,1374,1,2,1,BuiltIn,2,400,6,2010,184500
56,60,,7851,Pave,AllPub,Inside,Gilbert,Norm,1Fam,2Story,2002,VinylSd,860,1100,1960,1,2,1,BuiltIn,2,440,5,2010,216500
57,60,63,8577,Pave,AllPub,Inside,Gilbert,Norm,1Fam,2Story,2004,VinylSd,847,886,1733,0,2,1,BuiltIn,2,433,4,2010,185088
58,80,,7750,Pave,AllPub,Inside,Gilbert,Norm,1Fam,SLvl,2000,VinylSd,774,656,1430,0,2,1,BuiltIn,2,400,4,2010,180000
59,60,,9505,Pave,AllPub,CulDSac,Gilbert,Norm,1Fam,2Story,2001,VinylSd,884,1151,2035,0,2,1,BuiltIn,2,434,5,2010,222500
60,60,108,14774,Pave,AllPub,Corner,NoRidge,Norm,1Fam,2Story,1999,VinylSd,1422,1177,2599,0,2,1,BuiltIn,3,779,5,2010,333168
61,60,60,17433,Pave,AllPub,CulDSac,NoRidge,Norm,1Fam,2Story,1998,VinylSd,1645,830,2475,0,2,1,Attchd,3,962,1,2010,355000
62,20,59,10593,Pave,AllPub,Inside,NoRidge,Norm,1Fam,1Story,1996,VinylSd,1720,0,1720,1,2,0,Attchd,2,527,3,2010,260400
63,60,98,12256,Pave,AllPub,Corner,NoRidge,Norm,1Fam,2Story,1995,HdBoard,1500,1122,2622,1,2,1,Attchd,2,712,4,2010,325000
64,60,92,11764,Pave,AllPub,CulDSac,NoRidge,Norm,1Fam,2Story,2007,VinylSd,1164,1106,2270,0,2,1,Attchd,3,671,4,2010,290000
65,60,58,16770,Pave,AllPub,CulDSac,NoRidge,Norm,1Fam,2Story,1998,VinylSd,1195,644,1839,0,2,1,Attchd,2,486,6,2010,221000
66,50,56,14720,Pave,AllPub,CulDSac,NoRidge,Norm,1Fam,1.5Fin,1996,VinylSd,2053,1185,3238,1,2,1,Attchd,3,666,3,2010,410000
67,20,73,8987,Pave,AllPub,Inside,Somerst,Norm,1Fam,1Story,2006,VinylSd,1595,0,1595,0,2,0,Attchd,3,880,5,2010,221500
68,20,92,9215,Pave,AllPub,Inside,Somerst,Norm,1Fam,1Story,2010,VinylSd,1218,0,1218,0,2,0,Attchd,2,676,4,2010,204500
69,60,72,8640,Pave,AllPub,Inside,Somerst,Norm,1Fam,2Story,2009,VinylSd,764,783,1547,0,2,1,Attchd,2,614,6,2010,215200
70,20,75,9000,Pave,AllPub,Inside,Somerst,Norm,1Fam,1Story,2008,VinylSd,1566,0,1566,1,2,0,Attchd,2,750,4,2010,262500
71,60,100,12552,Pave,AllPub,Corner,Somerst,Norm,1Fam,2Story,2005,VinylSd,991,956,1947,0,2,1,Attchd,2,678,5,2010,254900
72,20,84,10440,Pave,AllPub,Corner,Somerst,Norm,1Fam,1Story,2005,VinylSd,1468,0,1468,1,2,0,Attchd,2,528,5,2010,271500
73,60,76,10142,Pave,AllPub,Inside,SawyerW,Norm,1Fam,2Story,2004,VinylSd,956,1128,2084,1,2,1,BuiltIn,2,618,1,2010,233000
74,60,70,11920,Pave,AllPub,Inside,SawyerW,Norm,1Fam,2Story,2004,VinylSd,831,828,1659,0,2,1,Attchd,2,484,4,2010,181000
75,60,,8880,Pave,AllPub,Inside,SawyerW,Norm,1Fam,2Story,2002,VinylSd,1222,888,2110,1,2,1,Attchd,2,463,5,2010,205000
76,120,50,8012,Pave,AllPub,Inside,SawyerW,Norm,TwnhsE,1Story,1980,Plywood,923,0,923,0,2,0,Attchd,1,264,5,2010,143000
77,60,70,11218,Pave,AllPub,Inside,SawyerW,Norm,1Fam,2Story,1992,Wd Sdng,1055,790,1845,0,2,1,Attchd,2,462,5,2010,189000
78,120,55,7892,Pave,AllPub,Inside,SawyerW,Norm,TwnhsE,1Story,1979,Plywood,918,0,918,0,2,0,Attchd,1,264,4,2010,99500
79,120,50,7175,Pave,AllPub,Inside,SawyerW,Norm,TwnhsE,1Story,1984,Plywood,752,0,752,1,1,0,Attchd,1,264,2,2010,125000
80,60,,9453,Pave,AllPub,CulDSac,SawyerW,RRNe,1Fam,2Story,2003,HdBoard,1014,730,1744,0,2,1,Attchd,2,457,2,2010,194500
81,20,81,9672,Pave,AllPub,Corner,SawyerW,Norm,1Fam,1Story,1985,HdBoard,1097,0,1097,0,2,0,Attchd,2,480,5,2010,152000
82,60,70,8400,Pave,AllPub,Inside,SawyerW,Norm,1Fam,2Story,1981,HdBoard,888,676,1564,0,2,1,Attchd,2,476,4,2010,171000
83,30,70,9800,Pave,AllPub,Corner,SawyerW,Feedr,1Fam,1Story,1950,Wd Sdng,1012,0,1012,0,1,0,Detchd,1,429,4,2010,67500
84,90,68,8930,Pave,AllPub,Inside,Sawyer,RRAe,Duplex,1.5Fin,1978,VinylSd,1318,584,1902,0,2,0,Attchd,2,539,4,2010,112000
85,85,88,11782,Pave,AllPub,Inside,Sawyer,Norm,1Fam,SFoyer,1995,HdBoard,1155,0,1155,1,1,0,Detchd,2,576,6,2010,148000
86,20,65,8450,Pave,AllPub,Inside,Sawyer,RRAe,1Fam,1Story,2009,MetalSd,894,0,894,1,1,0,Detchd,1,336,4,2010,138500
87,20,,9819,Pave,AllPub,Inside,Sawyer,Norm,1Fam,1Story,1967,MetalSd,900,0,900,0,1,0,Detchd,1,280,2,2010,122000
88,20,75,7500,Pave,AllPub,Corner,Sawyer,Feedr,1Fam,1Story,1963,HdBoard,1040,0,1040,1,1,1,Attchd,1,308,6,2010,133000
89,20,,6897,Pave,AllPub,Corner,Sawyer,Norm,1Fam,1Story,2010,HdBoard,1040,0,1040,1,1,1,Detchd,1,260,4,2010,127000
90,20,39,15410,Pave,AllPub,CulDSac,Sawyer,RRNe,1Fam,1Story,2002,Plywood,1494,0,1494,1,2,0,Attchd,2,461,4,2010,169000
91,60,107,10186,Pave,AllPub,Inside,NoRidge,Norm,1Fam,2Story,1992,HdBoard,1061,862,1923,1,2,1,Attchd,2,564,6,2010,190000
92,60,85,13143,Pave,AllPub,Inside,NoRidge,Norm,1Fam,2Story,1993,HdBoard,1251,1098,2349,1,2,1,Attchd,3,762,6,2010,362500
93,60,88,11134,Pave,AllPub,Inside,NoRidge,Norm,1Fam,2Story,1993,HdBoard,1402,823,2225,1,2,1,Attchd,3,713,6,2010,285000
94,120,25,4835,Pave,AllPub,CulDSac,Somerst,Norm,TwnhsE,1Story,2005,MetalSd,1488,0,1488,1,2,0,Attchd,2,506,3,2010,260000
95,160,39,3515,Pave,AllPub,Inside,Somerst,Norm,TwnhsE,2Story,2004,VinylSd,840,840,1680,0,2,1,Attchd,2,588,1,2010,190000
96,160,30,3215,Pave,AllPub,Inside,Somerst,Norm,TwnhsE,2Story,2004,MetalSd,600,600,1200,0,2,1,Detchd,2,480,4,2010,155000
97,160,30,3182,Pave,AllPub,Inside,Somerst,Norm,TwnhsE,2Story,2005,MetalSd,600,600,1200,0,2,1,Detchd,2,480,6,2010,151000
98,160,24,2544,Pave,AllPub,Inside,Somerst,Norm,Twnhs,2Story,2005,MetalSd,600,600,1200,1,2,1,Detchd,2,480,2,2010,149500
99,160,24,2544,Pave,AllPub,Inside,Somerst,Norm,Twnhs,2Story,2005,VinylSd,600,636,1236,1,2,1,Detchd,2,480,5,2010,152000
100,20,,4403,Pave,AllPub,Inside,Somerst,Norm,1Fam,1Story,2009,MetalSd,1478,0,1478,1,2,1,Attchd,2,484,6,2010,222000
101,160,,2117,Pave,AllPub,Inside,Somerst,Norm,Twnhs,2Story,2000,MetalSd,769,804,1573,0,2,1,Detchd,2,440,6,2010,177500
102,160,,2980,Pave,AllPub,Corner,Somerst,Norm,TwnhsE,2Story,2000,MetalSd,756,756,1512,1,2,1,Detchd,2,440,5,2010,177000
103,160,24,2572,Pave,AllPub,FR2,Somerst,Norm,Twnhs,2Story,1999,MetalSd,696,720,1416,1,2,1,Detchd,2,484,5,2010,155000
104,160,,2403,Pave,AllPub,FR2,Somerst,Norm,TwnhsE,2Story,2003,VinylSd,530,550,1080,0,2,1,Attchd,2,496,6,2010,147110
105,20,57,12853,Pave,AllPub,Inside,Somerst,Norm,1Fam,1Story,2010,CemntBd,1418,0,1418,1,1,1,Attchd,3,852,4,2010,267916
106,60,68,7379,Pave,AllPub,Inside,Somerst,Norm,1Fam,2Story,2000,VinylSd,975,873,1848,1,2,1,Attchd,2,592,4,2010,254000
107,120,30,4420,Pave,AllPub,CulDSac,Greens,Norm,TwnhsE,1Story,1980,Wd Sdng,788,0,788,1,1,0,Detchd,2,484,6,2010,155000
108,120,40,3880,Pave,AllPub,Inside,Greens,Norm,Twnhs,1Story,1978,Wd Sdng,1226,0,1226,1,1,0,Attchd,2,484,1,2010,206000
109,60,,13517,Pave,AllPub,CulDSac,Sawyer,RRAe,1Fam,2Story,2005,HdBoard,725,754,1479,0,2,1,Attchd,2,475,3,2010,130500
110,20,80,8000,Pave,AllPub,Inside,Somerst,Norm,1Fam,1Story,2002,VinylSd,1492,0,1492,1,2,0,Attchd,2,596,4,2010,230000
111,20,,10456,Pave,AllPub,Inside,NWAmes,Norm,1Fam,1Story,1967,HdBoard,1829,0,1829,1,2,0,Attchd,2,535,5,2010,218500
112,60,80,10791,Pave,AllPub,Inside,NWAmes,Norm,1Fam,2Story,1993,MetalSd,1280,1215,2495,1,2,1,Attchd,2,660,3,2010,243500
113,20,,10603,Pave,AllPub,Inside,NWAmes,Norm,1Fam,1Story,2001,Plywood,1610,0,1610,1,2,0,Attchd,2,480,2,2010,205000
114,50,,18837,Pave,AllPub,Inside,NWAmes,Norm,1Fam,1.5Fin,1978,MetalSd,1287,604,1891,0,3,0,Attchd,2,678,4,2010,212500
115,60,80,10421,Pave,AllPub,Inside,NWAmes,Norm,1Fam,2Story,1988,HdBoard,980,734,1714,0,2,1,Attchd,2,496,3,2010,196500
116,20,78,9360,Pave,AllPub,Inside,NWAmes,Norm,1Fam,1Story,2006,Plywood,1381,0,1381,1,1,1,Attchd,2,676,3,2010,197500
117,60,80,9600,Pave,AllPub,Inside,NWAmes,Norm,1Fam,2Story,1971,MetalSd,930,715,1645,0,1,2,Attchd,2,441,6,2010,171000
118,20,80,9600,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1966,VinylSd,1232,0,1232,1,1,1,Attchd,2,490,4,2010,142250
119,20,,9790,Pave,AllPub,Inside,NWAmes,Feedr,1Fam,1Story,1963,HdBoard,1328,0,1328,1,1,1,Attchd,2,528,6,2010,143000
120,20,77,9320,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1959,Plywood,1225,0,1225,1,1,1,NA,0,0,1,2010,128950
121,20,90,9900,Pave,AllPub,Corner,NAmes,Norm,1Fam,1Story,1966,HdBoard,1209,0,1209,1,1,0,Attchd,2,504,4,2010,159000
122,20,88,9680,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1967,Wd Sdng,1510,0,1510,1,2,0,Attchd,2,517,4,2010,178900
123,80,,10600,Pave,AllPub,Inside,NAmes,Norm,1Fam,SLvl,1964,HdBoard,1131,644,1775,0,2,0,Attchd,2,480,5,2010,136300
124,80,,14112,Pave,AllPub,Corner,NAmes,Norm,1Fam,SLvl,1964,Wd Sdng,1152,0,1152,1,1,0,Attchd,2,484,4,2010,180500
125,85,80,8800,Pave,AllPub,Inside,NAmes,Feedr,1Fam,SFoyer,1963,MetalSd,1054,0,1054,1,1,0,Attchd,2,480,5,2010,137500
126,90,98,13260,Pave,AllPub,Inside,NAmes,Norm,Duplex,1Story,2001,HdBoard,1728,0,1728,2,2,0,NA,0,0,1,2010,84900
127,20,68,9717,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1996,MetalSd,1078,0,1078,1,1,0,Attchd,1,240,4,2010,142125
128,50,68,9724,Pave,AllPub,Inside,NAmes,Norm,1Fam,1.5Fin,2002,MetalSd,1929,532,2461,0,2,0,Detchd,2,400,3,2010,197600
129,50,120,17360,Pave,AllPub,Corner,NAmes,Artery,1Fam,1.5Fin,1950,MetalSd,1019,537,1556,0,2,0,Attchd,2,470,1,2010,172500
130,20,50,7207,Pave,AllPub,Inside,BrkSide,Norm,1Fam,1Story,2008,Wd Sdng,858,0,858,1,1,0,NA,0,0,2,2010,116500
131,30,55,5350,Pave,AllPub,Inside,BrkSide,Norm,1Fam,1Story,1966,Wd Sdng,1306,0,1306,0,1,0,NA,0,0,5,2010,76500
132,20,80,9920,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1954,HdBoard,1063,0,1063,1,1,0,Attchd,1,280,2,2010,128000
133,80,80,9600,Pave,AllPub,Inside,NAmes,Norm,1Fam,SLvl,1972,AsbShng,1520,0,1520,1,1,0,Basment,1,364,3,2010,153000
134,20,78,7800,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1954,HdBoard,1268,0,1268,0,1,0,Attchd,1,244,3,2010,132000
135,85,75,11380,Pave,AllPub,Inside,NAmes,Norm,1Fam,SFoyer,2008,HdBoard,1128,0,1128,1,1,0,Attchd,1,315,1,2010,178000
136,90,80,11600,Pave,AllPub,Corner,NAmes,Feedr,Duplex,2Story,1960,MetalSd,1105,1169,2274,0,2,0,Detchd,2,480,1,2010,154300
137,20,,19900,Pave,AllPub,Inside,NAmes,PosA,1Fam,1Story,1989,Plywood,2207,0,2207,1,2,0,Attchd,2,576,7,2010,180000
138,20,137,16492,Pave,AllPub,Corner,NAmes,PosA,1Fam,1Story,2002,BrkFace,1888,0,1888,0,2,1,Attchd,2,578,6,2010,190000
139,90,70,8267,Pave,AllPub,Corner,NAmes,Feedr,Duplex,1Story,1958,HdBoard,1604,0,1604,0,2,0,Attchd,2,576,3,2010,135000
140,20,70,8197,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,2009,VinylSd,1480,0,1480,1,2,0,Attchd,2,620,2,2010,214000
141,20,,8050,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1959,MetalSd,1143,0,1143,1,1,0,Attchd,1,308,5,2010,136000
142,20,70,10552,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1959,BrkFace,1700,0,1700,0,1,1,Attchd,2,447,4,2010,165500
143,20,70,8400,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1957,MetalSd,1314,0,1314,1,1,0,Attchd,1,294,6,2010,145000
144,20,73,8760,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1959,MetalSd,1194,0,1194,1,1,0,Attchd,1,312,4,2010,148000
145,20,,12160,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1959,Plywood,1188,0,1188,1,1,0,Attchd,2,531,5,2010,142000
146,20,73,9300,Pave,AllPub,Inside,NAmes,Feedr,1Fam,1Story,1960,MetalSd,1264,0,1264,1,1,0,Attchd,2,461,4,2010,167500
147,20,87,10725,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1959,MetalSd,1206,0,1206,0,1,0,Attchd,1,312,5,2010,108538
148,20,80,10032,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1959,Wd Sdng,1580,0,1580,1,1,1,Attchd,2,440,6,2010,159500
149,50,60,8382,Pave,AllPub,Inside,NAmes,Norm,1Fam,1.5Fin,1956,MetalSd,832,505,1337,0,1,0,Attchd,1,263,2,2010,108000
150,20,60,10950,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1952,WdShing,1064,0,1064,0,1,0,Detchd,1,318,5,2010,135000
151,20,119,10895,Pave,AllPub,Corner,NAmes,Norm,1Fam,1Story,1955,MetalSd,972,0,972,0,1,0,Attchd,1,305,6,2010,122500
152,190,70,13587,Pave,AllPub,Inside,NAmes,Norm,2fmCon,1Story,1958,MetalSd,988,0,988,1,1,0,Attchd,1,264,4,2010,119000
153,20,68,7922,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,2007,VinylSd,1057,0,1057,1,1,0,Detchd,1,246,1,2010,109000
154,30,65,7898,Pave,AllPub,Corner,NAmes,Norm,1Fam,1Story,1994,MetalSd,985,0,985,0,1,0,Detchd,2,676,4,2010,105000
155,20,60,7200,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,2007,VinylSd,827,0,827,0,1,0,Detchd,1,392,4,2010,107500
156,20,85,10200,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,2003,Wd Sdng,1086,0,1086,1,1,0,Attchd,2,490,5,2010,144900
157,20,74,5868,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,2000,MetalSd,936,0,936,1,1,0,Attchd,1,308,5,2010,129000
158,50,78,17503,Pave,AllPub,Inside,NAmes,Artery,1Fam,1.5Fin,1950,VinylSd,912,546,1458,0,1,0,Attchd,1,330,1,2010,97500
159,90,64,6979,Pave,AllPub,Inside,OldTown,Norm,Duplex,SFoyer,1980,Plywood,1056,0,1056,2,0,0,Detchd,2,576,6,2010,144000
160,20,,9830,Pave,AllPub,Corner,NAmes,Norm,1Fam,1Story,2006,Wd Sdng,1287,0,1287,1,1,0,Detchd,2,576,3,2010,162000
161,80,96,11275,Pave,AllPub,Corner,NAmes,PosN,1Fam,SLvl,2007,Wd Sdng,1898,1080,2978,0,2,1,BuiltIn,2,564,6,2010,242000
162,50,60,8064,Pave,AllPub,Inside,NAmes,Artery,1Fam,1.5Fin,2004,WdShing,816,408,1224,1,1,0,Detchd,1,280,5,2010,132000
163,20,75,7500,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1994,BrkFace,1246,0,1246,1,1,1,Attchd,1,305,5,2010,154000
164,50,71,8520,Pave,AllPub,Corner,NAmes,Artery,1Fam,1.5Fin,1952,BrkFace,910,475,1385,0,2,0,Detchd,2,720,6,2010,166000
165,20,60,7200,Pave,AllPub,Corner,NAmes,Norm,1Fam,1Story,2000,Wd Sdng,900,0,900,0,1,0,Detchd,2,576,5,2010,134800
166,20,87,10000,Pave,AllPub,Corner,NAmes,Norm,1Fam,1Story,1962,Wd Sdng,1116,0,1116,0,1,1,Attchd,2,440,2,2010,160000
167,20,81,7635,Pave,AllPub,Corner,NAmes,Norm,1Fam,1Story,1960,BrkFace,1175,0,1175,0,1,1,Detchd,2,484,6,2010,148000
168,20,80,9760,Pave,AllPub,Inside,NAmes,Norm,1Fam,1Story,1984,Wd Sdng,1395,0,1395,1,1,0,Attchd,2,440,5,2010,192000
